Age,Game_Played,PA,At_Bat,Run,Hit,Double,Homerun,RBI,SO,BB,BA
35,66,270,241,38,71,19,3,23,33,25,0.295
30,62,221,200,23,49,7,4,18,35,18,0.245
30,66,211,185,14,39,7,1,16,36,21,0.211
35,47,206,180,29,56,10,2,22,28,24,0.311
28,84,320,286,52,84,16,21,55,69,32,0.294
36,79,310,256,49,77,15,9,28,45,47,0.301
31,151,643,561,84,166,43,10,86,82,69,0.296
34,100,433,391,70,116,22,16,59,71,34,0.297
39,83,339,309,43,79,16,15,56,37,23,0.256
35,103,444,411,56,120,27,13,57,46,29,0.292
36,141,618,506,89,130,26,19,50,103,92,0.257
33,141,622,559,71,157,37,23,103,68,52,0.281
41,72,252,222,24,59,8,10,30,39,29,0.266
34,119,452,409,53,116,20,13,46,53,36,0.284
28,53,222,199,25,58,9,2,17,32,17,0.291
26,56,221,199,38,55,14,13,36,38,15,0.276
24,49,212,180,27,46,5,5,19,22,21,0.256
21,72,201,182,21,41,6,1,17,30,12,0.225
30,53,194,177,23,57,11,9,28,27,11,0.322
30,71,178,163,19,44,17,2,21,31,12,0.27
24,75,251,213,29,48,11,3,23,40,27,0.225
24,143,586,524,84,156,31,21,97,72,47,0.298
28,151,709,614,121,172,35,17,75,105,75,0.28
30,144,648,568,107,155,37,25,92,106,59,0.273
30,109,420,383,69,118,29,12,61,68,22,0.308
24,152,619,572,107,172,29,24,92,94,38,0.301
27,147,566,511,83,130,22,11,62,85,35,0.254
26,153,665,588,102,185,34,32,126,64,60,0.315
32,159,707,582,115,191,44,43,143,94,112,0.328
27,80,242,215,31,59,15,3,29,38,21,0.274
27,71,231,201,25,49,6,6,28,47,26,0.244
34,97,384,356,44,103,16,7,42,41,16,0.289
29,158,684,557,106,150,33,37,106,171,118,0.269
32,155,697,610,111,189,40,19,89,82,64,0.31
33,156,717,613,101,176,27,7,66,72,87,0.287
31,155,658,574,93,184,38,22,106,111,73,0.321
25,91,356,324,45,83,16,16,44,96,25,0.256
33,137,640,543,107,151,23,15,73,72,79,0.278
28,118,532,439,92,154,34,38,122,117,86,0.351
24,67,220,193,32,46,7,16,38,76,22,0.238
